Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,DOI,Link,Abstract,Author Keywords,Index Keywords,Editors,Publisher,ISSN,ISBN,CODEN,Language of Original Document,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Torre, L.M.J.D.; Mengoy, R.V.M.; Quindoza, R.E.E.; Tamondong, N.J.S.; Tubola, O.D.","Torre, Lloyd Mar J.Dela (57991569400); Mengoy, Renz Vincent M. (57991671500); Quindoza, Rowin Edward E. (57991612300); Tamondong, Nathalie Jane S. (57991631000); Tubola, Orland Delfino (57991569500)",57991569400; 57991671500; 57991612300; 57991631000; 57991569500,PUPVOTE: Blockchain-Based Voting System Using NEAR Protocol,2022,International Conference on ICT Convergence,2022-October,,,1127,1132,0,10.1109/ICTC55196.2022.9952594,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85143256385&doi=10.1109%2FICTC55196.2022.9952594&partnerID=40&md5=64c569ca12f2310978f20fbb367aae0f,"University student elections are usually held using paper ballots [2] or online survey forms [4]-[7] where security is a concern [8]. This paper presents the creation of a blockchain-based voting system as a solution for the security issues of university student council elections. Blockchain is a type of distributed ledger technology where security is improved by storing transactions in several independent storages [10] [11]. In this study, NEAR Protocol was used in creating the voting system. It was simulated in the NEAR Testnet and as-pect was used to check the smart contract operation. Finally, ISO 25010 was used to check the overall performance of the voting system. As-pect testing showed that the smart contract works as intended and the voting system passed the ISO 25010 product quality evaluation. © 2022 Elsevier B.V., All rights reserved.",Blockchain; Distributed Ledger Technology; Smart Contract; Voting System,Blockchain; Distributed ledger; Electronic voting; Block-chain; Contract operations; Distributed ledg technology; Online surveys; Performance; Products quality; Security issues; Student council; University students; Voting systems; Smart contract,,IEEE Computer Society,21621241; 21621233,9798350364637; 9798350313277; 9781728167589; 9781665423830; 9781665499392; 9781479967865; 9781467348287; 9781479906987,,English,Int. Conf. ICT Convergence,Conference paper,Final,,Scopus,2-s2.0-85143256385
,,,"24th International Symposium on Stabilization, Safety, and Security of Distributed Systems, SSS 2022",2022,Lecture Notes in Computer Science,13751 LNCS,,,,,369,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142735103&partnerID=40&md5=3b47090b3fc1f452122bb25b1285f217,"The proceedings contain 28 papers. The special focus in this conference is on Stabilization, Safety, and Security of Distributed Systems. The topics include: Perpetual Torus Exploration by Myopic Luminous Robots; optimal Algorithms for Synchronous Byzantine k-Set Agreement; reaching Consensus in the Presence of Contention-Related Crash Failures; self-stabilizing Byzantine Fault-Tolerant Repeated Reliable Broadcast; capacity Planning for Dependable Services; lower Bound for Constant-Size Local Certification; collaborative Dispersion by Silent Robots; time Optimal Gathering of Myopic Robots on an Infinite Triangular Grid; Card-Based ZKP Protocol for Nurimisaki; invited Paper: One Bit Agent Memory is Enough for Snap-Stabilizing Perpetual Exploration of Cactus Graphs with Distinguishable Cycles; consensus on Demand; better Incentives for Proof-of-Work; brief Announcement: Self Masking for Hardening Inversions; brief Announcement: Dynamic Graph Models for the Bitcoin P2P Network: Simulation Analysis for Expansion and Flooding Time; brief Announcement: Fully Lattice Linear Algorithms; brief Announcement: Distributed Reconfiguration of Spanning Trees; brief Announcement: Mutually-Visible Uniform Circle Formation by Asynchronous Mobile Robots on Grid Plane; brief Announcement: Self-stabilizing Total-Order Broadcast; brief Announcement: Secure and Efficient Participant Authentication—Application to Mobile E-Voting; invited Paper: Towards Practical Atomic Distributed Shared Memory: An Experimental Evaluation; invited Paper: Cross-Chain State Machine Replication; plateau: A Secure and Scalable Overlay Network for Large Distributed Trust Applications; the Limits of Helping in Non-volatile Memory Data Structures; treasure Hunt in Graph Using Pebbles; blockchain in Dynamic Networks; improving the Efficiency of Report and Trace Ring Signatures. © 2022 Elsevier B.V., All rights reserved.",,,"Devismes, S.; Petit, F.; Altisen, K.; Di Luna, G.A.; Fernandez Anta, A.",Springer Science and Business Media Deutschland GmbH,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference review,Final,,Scopus,2-s2.0-85142735103
"Scarlato, M.; Tourani, R.; Jeon, M.","Scarlato, Michele (57201720106); Tourani, Reza (55849143800); Jeon, Moongu (23987776700)",57201720106; 55849143800; 23987776700,Sancus: an Anonymous and Trustworthy Blockchain-based Electronic Voting Architecture,2022,,,,,93,98,0,10.1109/BCCA55292.2022.9921940,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142028420&doi=10.1109%2FBCCA55292.2022.9921940&partnerID=40&md5=1a827ba77738b111fbe7fe66879fc9c0,"The high cost of contemporary in-person voting, prolonged ballot counting, stringent voter availability requirements, and result unreliability have motivated the design and development of the new breed of electronic voting (e-voting) systems. The emerging e-voting systems, ranging from standalone electronic voting machines to automated Internet-based systems, aim at promoting better accessibility for disabled voters, faster ballot counting, and voting verifiability. However, the majority of the existing e-voting systems cannot satisfy all the aforementioned properties and are often vulnerable to breaching voters' anonymity. To address this problem, in this paper, we propose Sancus -a blockchain-based electronic voting architecture. Sancus meets the primary criteria of fair voting by providing features, such as voter authentication and anonymity, along with voting reliability and result verifiability. We will discuss Sancus's design and its proof-of-concept implementation in BigchainDB. We will further present its throughput measurements in a small testbed. In the future, we plan to augment Sancus's design and further implementing it on a more prominent blockchain and conduct a large-scale evaluation. © 2022 Elsevier B.V., All rights reserved.",Anonymity; blockchain; e-voting; trust,Electronic voting; Voting machines; Anonymity; Block-chain; Design and Development; Electronic voting machines; High costs; Stringents; Trust; Verifiability; Voting systems; Blockchain,"Alsmirat, M.; Aloqaily, M.; Jararweh, Y.; Alsmadi, I.",Institute of Electrical and Electronics Engineers Inc.,,9781665499583,,English,"Int. Conf. Blockchain Comput. Appl., BCCA",Conference paper,Final,,Scopus,2-s2.0-85142028420
"Hu, H.; Ou, J.; Qian, B.; Luo, Y.; He, P.; Zhou, M.; Chen, Z.","Hu, Houpeng (57870378600); Ou, Jiaxiang (57870378700); Qian, Bin (57209836776); Luo, Yi (56813972500); He, Peilin (57869633200); Zhou, Mi (57222261036); Chen, Zerui (57869782100)",57870378600; 57870378700; 57209836776; 56813972500; 57869633200; 57222261036; 57869782100,A Practical Anonymous Voting Scheme Based on Blockchain for Internet of Energy,2022,Security and Communication Networks,2022,,4436824,,,0,10.1155/2022/4436824,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85137108816&doi=10.1155%2F2022%2F4436824&partnerID=40&md5=39305a103ea0eba98a132d019af6d1ac,"E-voting allows us to build a democratic business in most Internet of things (IoT) systems. For example, we may vote to choose a proper energy broker in a smart grid system. In this study, we focus on e-voting services in an Internet of energy (IoE) system, which is a new-style smart grid. A practical e-voting in IoE may focus on the properties of fairness, decentralization, eligibility, anonymity, compatibility, verifiability, and coercion resistance. It is difficult to fulfil all these properties simultaneously. Traditional voting schemes often use a public bulletin board or administrator in the voting process, which makes them become centralized. Services that offer e-voting via blockchain can make the voting schemes decentralized. However, many of them ignore the complexity of organizing the data of the transactions, which should be confirmed by the miners. Moreover, to the best of the authors' knowledge, no works have tested the performance in the blockchain while considering practical use cases and constraints. Concerning all the challenges, we propose a practical anonymous voting scheme for IoE called IoEPAV. The proposed scheme fulfils all the mentioned design goals simultaneously. We tested IoEPAV both in different test networks of the Ethereum blockchain to give an overall evaluation. The practical evaluation can show that the proposed scheme is easy to be integrated into a real system like IoE. We also gave a comparison analysis with the state-of-the-art blockchain-based e-voting. All the results show that IoEPAV is decentralized, verifiable, anonymous, and highly efficient. © 2022 Elsevier B.V., All rights reserved.",,Blockchain; Electric power transmission networks; Internet of things; Smart power grids; Block-chain; Decentralisation; Decentralised; E-Voting; Energy; Energy systems; Property; Smart grid; Smart grid systems; Voting schemes; Internet of Energy,,Hindawi Limited,19390114; 19390122,,,English,Secur. Commun. Networks,Article,Final,All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85137108816
"Bhavani, G.L.; Ramu, M.; Gupta, S.; Akula, S.P.; Gomathi, S.; Yadav, A.","Bhavani, Gudapati Lakshmi (57866021500); Ramu, M. (59740835400); Gupta, Sonali (55557956900); Akula, Sai Parichit (57336459400); Gomathi, S. (57216789365); Yadav, Aryamaan (57422716100)",57866021500; 59740835400; 55557956900; 57336459400; 57216789365; 57422716100,Development and Performance Evaluation of a Blockchain Associated E-Voting System in IoT-Enabled Smart-Cities,2022,,,,,935,941,0,10.1109/ICIEM54221.2022.9853068,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136929581&doi=10.1109%2FICIEM54221.2022.9853068&partnerID=40&md5=3f8de4d978d0c4856ba80853c675607a,"An atmosphere is referred by the smart city, in which every available asset and current improvements are conveyed in an orderly and shrewd manner. Insightful detectors (Internet-of-Things (IoT) components) functioning in tandem along 5G innovation have been continually proving to be more inevitable and successful in achieving clients' desires. In the various IoT application conditions, e-voting a ballot has been the key use to IoT, which propels this to the advanced level to the development of smart city innovations. During generalized usages, each of the components have been estimated as pleasant as well as trustworthy. Anyhow, during the practice, uninvited guests can disrupt gadgets in order to operate perniciously to the point of corruption of the organization's administrations. As a result, the protection and security flaws in e-casting a ballot framework, in particular, create a huge concern where gate crashers might use numerous hacks to manipulate the surveys. As a result, the prospective test in distinguishing appropriate IoT components by spiteful with recording the certain parameters over a friendly streamlining agent to establish a real correspondence atmosphere. Furthermore, to prevent future changes to information collected by intelligence gadgets, a BC has been assisted, where squares about entire genuine IoT components have been documented. This paper describes a safe as well as generalized method of e-voting, a ballot using BC IoT, having a goal of identifying also the solution of different risks posed with a gate crasher at different stages. Furthermore, in accepting the scheduled instrument, this has been tested counter to several safety boundaries like information adjustment, DoS as well as DDoS attacks, along with the validation time. © 2022 Elsevier B.V., All rights reserved.",DoS; E-Voting; IoT; Smart Cities,5G mobile communication systems; Blockchain; Denial-of-service attack; Network security; Smart city; 'current; Block-chain; Condition; DoS; E-Voting; E-voting systems; E. Casting; Performances evaluation; Protection and security; Security flaws; Internet of things,,Institute of Electrical and Electronics Engineers Inc.,,9781665467568,,English,"Proc. Int. Conf. Intell. Eng. Manag., ICIEM",Conference paper,Final,,Scopus,2-s2.0-85136929581
"Rajadurai, R.; Kathrine, G.J.W.; Rubavathi, M.; Sruthi Krithika, T.","Rajadurai, Priscilla (55002714200); Kathrine, Jaspher W. (57130545500); Rubavathi, M. (57841433800); Sruthi Krithika, T. (57841723600)",55002714200; 57130545500; 57841433800; 57841723600,Blockchain-Based Decentralized E-Voting System Using Smart Contract,2022,Lecture Notes in Electrical Engineering,905,,,481,491,0,10.1007/978-981-19-2177-3_46,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135833315&doi=10.1007%2F978-981-19-2177-3_46&partnerID=40&md5=8d64a01b6582d7f40356fdddc19faaf6,"In any evolved and growing world, elections should be obvious. This excessive degree of transparency promotes a way of life of accountability. Voting performs an essential position in constructing a democratic society in any country. The modern-day vote casting device entails voter residents who can solidify their votes at distinct vote casting booths, which calls for a massive quantity of time and budget. Open vote casting strengthens openness and integrity in organizational governance. An excessive degree of participation in any election regularly suggests a healthy party. E-vote casting or digital vote casting may be described as a voter who can report his or her vote electronically in a stable manner. In different words, the definition of e-Voting: Electronic vote casting (e-Voting) may be described as a web primarily based totally software program device wherein vote casting, voter effects evaluation of political elections is ruled through information and communication technology (ICT) generation at the least at some point of the vote casting and effects evaluation process. Blockchains used in cryptocurrency can be used to validate the vote transactions from their start to their destination. © 2022 Elsevier B.V., All rights reserved.",Blockchain; E-vote; Election; Information and communication technology,Budget control; Electronic voting; Block-chain; Decentralised; E-vote; E-Voting; E-voting systems; Effect evaluation; Election; Information and Communication Technologies; Massive quantities; Organisational; Blockchain,"Peter, J.D.; Fernandes, S.L.; Alavi, A.H.",Springer Science and Business Media Deutschland GmbH,18761119; 18761100,9789819680023; 9789819658473; 9789819600571; 9789819644292; 9789819637577; 9783319030135; 9783642363283; 9789819648115; 9783642384653; 9789819920914,,English,Lect. Notes Electr. Eng.,Conference paper,Final,,Scopus,2-s2.0-85135833315
,,,"24th International Conference on Information Security and Cryptology, ICISC 2021",2022,Lecture Notes in Computer Science,13218 LNCS,,,,,444,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135169697&partnerID=40&md5=75acb7a40fa9161f1ed4bd7d3e363975,"The proceedings contain 23 papers. The special focus in this conference is on Information Security and Cryptology. The topics include: Practical Post-quantum Password-Authenticated Key Exchange Based-on Module-Lattice; ATSSIA: Asynchronous Truly-Threshold Schnorr Signing for Inconsistent Availability; T- depth Reduction Method for Efficient SHA- 256 Quantum Circuit Construction; towards Witness Encryption Without Multilinear Maps: Extractable Witness Encryption for Multi-subset Sum Instances with No Small Solution to the Homogeneous Problem; New General Framework for Algebraic Degree Evaluation of NFSR-Based Cryptosystems; forward Secure Message Franking; collision-Resistant and Pseudorandom Function Based on Merkle-Damgård Hash Function; Learning-based Side-Channel Analysis on PIPO; Differential Fault Attack on Lightweight Block Cipher PIPO; differential Fault Attack on Rocca; Improved See-In-The-Middle Attacks on AES; algebraic Attacks on Grain-Like Keystream Generators; preimage Attacks on 4-Round Keccak by Solving Multivariate Quadratic Systems; revocable Hierarchical Identity-Based Authenticated Key Exchange; preface; improved Lattice-Based Mix-Nets for Electronic Voting; delegating Supersingular Isogenies over Fp2 with Cryptographic Applications; designated-Verifier Linkable Ring Signatures; SPEEDY on Cortex–M3: Efficient Software Implementation of SPEEDY on ARM Cortex–M3; Grover on SM3; a Preimage Attack on Reduced Gimli-Hash. © 2022 Elsevier B.V., All rights reserved.",,,"Park, J.H.; Seo, S.",Springer Science and Business Media Deutschland GmbH,16113349; 03029743,9789819698936; 9789819698042; 9789819698110; 9789819698905; 9789819512324; 9783032026019; 9783032008909; 9783031915802; 9789819698141; 9783031984136,,English,Lect. Notes Comput. Sci.,Conference review,Final,,Scopus,2-s2.0-85135169697
"Killer, C.; Eck, M.; Rodrigues, B.; von der Assen, J.; Staubli, R.; Stiller, B.","Killer, Christian (57190031170); Eck, Moritz (57210927368); Rodrigues, Bruno Bastos (56419515800); von der Assen, Jan (57226838017); Staubli, Roger (57797851200); Stiller, Burkhard (7004689641)",57190031170; 57210927368; 56419515800; 57226838017; 57797851200; 7004689641,"ProvotuMN: Decentralized, Mix-Net-based, and Receipt-free Voting System",2022,,,,,,,0,10.1109/ICBC54727.2022.9805556,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134037679&doi=10.1109%2FICBC54727.2022.9805556&partnerID=40&md5=70b1f393465293faeec3e274dfe6216d,"Recent years saw an increase in voting systems using public permissionless blockchains. Although public blockchains offer transparency and immutability, permissioned consensus is better suited for voting systems' requirements, because an initial level of trust in authorities is always required. Hence, a permissioned Distributed Ledger (DL) immutably storing the voting system's audit trail satisfies demands measurably.ProvotuMN 3.0 is a decentralized and receipt-Free (RF) voting system based on an end-to-end verifiable Re-Encryption Mixnet (RMN). RMNs allow for flexible votes and elections and decouple the ballot structure from the cryptographic voting protocol. Thus, ProvotuMN decentralizes trust (i) through the use of cryptographic shuffles and Non-Interactive Zero-Knowledge Proofs (NIZKP) in an RMN executed among DL nodes, (ii) by employing a distributed key generation for election keys, and (iii) by offering a decentralized re-encryption service assuring RF. Performance evaluations performed indicate that the voting scheme is scalable for large-scale voting. © 2022 Elsevier B.V., All rights reserved.",,Blockchain; Cryptography; Electronic voting; Voting machines; Audit trails; Block-chain; Decentralised; End to end; Mixnets; Receipt-free; Reencryptions; System audit; System requirements; Voting systems; Distributed ledger,,Institute of Electrical and Electronics Engineers Inc.,,9781665495387,,English,"IEEE Int. Conf. Blockchain Cryptocurrency, ICBC",Conference paper,Final,,Scopus,2-s2.0-85134037679
"Farooq, M.S.; Iftikhar, U.; Khelifi, A.","Farooq, Muhammad Shoaib (59895808200); Iftikhar, Usman (59892932700); Khelifi, Adel (15057867500)",59895808200; 59892932700; 15057867500,A Framework to Make Voting System Transparent Using Blockchain Technology,2022,IEEE Access,10,,,59959,59969,0,10.1109/ACCESS.2022.3180168,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85131711908&doi=10.1109%2FACCESS.2022.3180168&partnerID=40&md5=56d29e9ab167d781b12ea47a95a42204,"A widespread mistrust towards the traditional voting system has made democratic voting in any country very critical. People have seen their fundamental rights being violated. Other digital voting systems have been challenged due to a lack of transparency. Most voting systems are not transparent enough; this makes it very difficult for the government to gain voters' trust. The reason behind the failure of the traditional and current digital voting system is that it can be easily exploited. The primary objective is to resolve problems of the traditional and digital voting system, which include any kind of mishap or injustice during the process of voting. Blockchain technology can be used in the voting system to have a fair election and reduce injustice. The physical voting systems have many flaws in it as well as the digital voting systems are not perfect enough to be implemented on large scale. This appraises the need for a solution to secure the democratic rights of the people. This article presents a platform based on modern technology blockchain that provides maximum transparency and reliability of the system to build a trustful relationship between voters and election authorities. The proposed platform provides a framework that can be implemented to conduct voting activity digitally through blockchain without involving any physical polling stations. Our proposed framework supports a scalable blockchain, by using flexible consensus algorithms. The Chain Security Algorithm applied in the voting system makes the voting transaction more secure. Smart contracts provide a secure connection between the user and the network while executing a transaction in the chain. The security of the blockchain based voting system has also been discussed. Additionally, encryption of transactions using cryptographic hash and prevention of attack 51% on the blockchain has also been elaborated. Furthermore, the methodology for carrying out blockchain transactions during the process of voting has been elaborated using Blockchain Finally, the performance evaluation of the proposed system shows that the system can be implemented in a large-scale population. © 2022 Elsevier B.V., All rights reserved.",blockchain; blockchain application; blockchain voting; cryptographic hash; E-polling; E-voting; electoral system; secure voting; voting system,Cryptography; Data privacy; Network security; Peer to peer networks; Transparency; Block-chain; Blockchain application; Blockchain voting; Consensus algorithms; Cryptographic hash; CryptoGraphics; E-polling; E-Voting; Electoral systems; License; Peer-to-peer computing; Privacy; Robustness; Secure voting; Voting systems; Smart contract,,Institute of Electrical and Electronics Engineers Inc.,21693536,,,English,IEEE Access,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85131711908
"Olaniyi, O.M.; Dogo, E.M.; Nuhu, B.K.; Treiblmaier, H.; Abdulsalam, Y.S.; Folawiyo, Z.","Olaniyi, Olayemi Mikail (36504804800); Dogo, Eustace M. (56039094700); Nuhu, Bello Kontagora (57221279321); Treiblmaier, Horst (13907073600); Abdulsalam, Yunusa Simpa (57221383735); Folawiyo, Z. (57645628700)",36504804800; 56039094700; 57221279321; 13907073600; 57221383735; 57645628700,A Secure Electronic Voting System Using Multifactor Authentication and Blockchain Technologies,2022,EAI/Springer Innovations in Communication and Computing,,,,41,63,0,10.1007/978-3-030-89546-4_3,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128962069&doi=10.1007%2F978-3-030-89546-4_3&partnerID=40&md5=3d283933db59d566f084923c7611e06b,"This chapter presents a distributed e-voting system that solves the problems of vote-rigging, voter impersonation, and vote falsification, all of which are prevalent in traditional paper ballot systems. In general, the digitization of democratic decision-making is convenient, fast, and cost-saving but can become a gateway for electoral fraud if not properly secured. Authentication and the simultaneous achievement of confidentiality, integrity, and availability represent major challenges toward establishing e-voting as a reliable means of democratic decision-making. In this chapter, a combination of multifactor authentication (MFA) and blockchain techniques is used to secure electronic voting. MFA hampers the compromising of voters’ identities and allows for easy verification, while blockchain technology protects the integrity of the votes and ensures the verifiability of the cast votes. Combining a facial recognition algorithm and RFID authenticates and authorizes voters to participate in the election process. A smart contract implemented on an Ethereum network provides the required measures of integrity and verifiability for secure e-voting. Performance evaluations of the proposed approach show that the MFA yielded a 0.1% false acceptance rate and a 0.8% false rejection rate for 100 voters, respectively. This illustrates that the proposed technique can solve issues of authentication and integrity, thereby paving the way for free, fair, and credible e-democratic decision-making in digitally enabled voting scenarios. © 2022 Elsevier B.V., All rights reserved.",Biometrics; Data communication; Distributed system; Security and privacy protection; Smart cards,Authentication; Blockchain; Crime; Decision making; Electronic voting; Face recognition; Network security; Voting machines; Block-chain; Data-communication; Decisions makings; Distributed systems; E-Voting; Multi-factor authentication; Secure electronic voting; Security and privacy protection; Verifiability; Voting systems; Smart cards,,Springer Science and Business Media Deutschland GmbH,25228595; 25228609,9783031282249; 9783031344589; 9783030298968; 9783031766091; 9783031531606; 9783031530272; 9783031565328; 9783031347498; 9783031601538; 9783031076534,,English,EAI/Springer Inno. Comm. Comp.,Book chapter,Final,,Scopus,2-s2.0-85128962069
,,,"8th International Conference on Electronic Governance and Open Society: Challenges in Eurasia, EGOSE 2021",2022,Communications in Computer and Information Science,1529 CCIS,,,,,318,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128876535&partnerID=40&md5=55a15f811679bd5690c3de7c2913e5d9,"The proceedings contain 23 papers. The special focus in this conference is on Electronic Governance and Open Society: Challenges in Eurasia. The topics include: Exploring Citizens’ Awareness of E-Services and Attitude Towards Smart City: A Comparative Analysis of the Cases of St. Petersburg and Tomsk; Smart Culture in Russia Pre-COVID: Development and Online Presence of Cultural Organizations; problems of Migration Management in the Conditions of Global Digitalization of Society; assessing Public Value of Urban Green Zones Through Their Public Representation in Social Media; citizens’ Involvement in Participatory Budgeting on Municipal Level: The Case of Yuzhno-Primorskiy Municipality of St. Petersburg (Russia); where Security Meets Accessibility: Mobile Research Ecosystem; E-participation Portals in the E-Governance Institutional Structure of the EAEU Countries: A Trend Study; the Impact of M-Learning on Sustainable Information Society; the Role of Service Design in Increasing Regional Innovation in the Silver Economy; improving eGovernment Services with Blockchain: Restoring Trust in e-voting Systems; gender Disparity in the Usability of E-Government Portals: A Case Study of the Saudi Job Seeking Web Portal; success and Success Factors of the Estonian E-Residency from the State and Entrepreneur Perspective; e-Court Transition Process: Identifying Critical Factors and Recommendations for Developing Countries; unraveling the Social-Technical Complexity of Dashboards for Transformation; segregation of Duties in Business Architecture Models; standard Cloud Solution for Control and Supervision in Russia; the Concept and the Roadmap to Linked Open Statistical Data in the Russian Federation; legal Issues on the Use of “Digital Twin” Technologies for Smart Cities; preface. © 2022 Elsevier B.V., All rights reserved.",,,"Chugunov, A.V.; Janssen, M.; Khodachek, I.; Misnikov, Y.; Trutnev, D.",Springer Science and Business Media Deutschland GmbH,18650937; 18650929,9789819671748; 9789819664610; 9783032026743; 9783032008831; 9783032026712; 9789819671779; 9783031949425; 9789819666874; 9783031936968; 9783031941207,,English,Commun. Comput. Info. Sci.,Conference review,Final,,Scopus,2-s2.0-85128876535
"Danwar, S.H.; Mahar, J.A.; Kiran, A.","Danwar, Shahid Hussain (57211199476); Mahar, Javed Ahmed (23005657900); Kiran, Aneela (57478497200)",57211199476; 23005657900; 57478497200,A Framework for e-Voting System Based on Blockchain and Distributed Ledger Technologies,2022,"Computers, Materials and Continua",72,1,,417,440,0,10.32604/cmc.2022.023846,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85125834430&doi=10.32604%2Fcmc.2022.023846&partnerID=40&md5=03b48b866cdc544e7737bb2afb473beb,"Election allows the voter of a country to select the most suitable group of candidates to run the government. Election in Pakistan is simply paper-based method but some certain political and socio-economic issues turn that simple process in complicated and disputes once. Solutions of such problems are consisting of many methods including the e-voting system. The e-voting system facilitates the voters to cast their votes by electronic means with very easy and convenient way. This also allows maintaining the security and secrecy of the voter along with election process. Electronic voting reduces the human-involvement throughout the process from start to the end. Such system is not established yet in Pakistan. Hence, every election is disputed always. In this paper we proposed the framework of an e-voting system and simulation with the use of blockchain ledger technology. The proposed framework owns the capacity to deal with ballots in Pakistan. The novelty of the framework is that the e-voting system is linked to National Database and Registration Authority (NADRA) database which assures voter’s validation. The fundamental requirements were kept in consideration during the performance evaluation of the system. The results are processed and depicted specially with reference to the number of voters and voting stations, real time of vote casting, network bandwidth and controlling principles. The results support the decision makers and guide them in the foundation and customization of an e-voting system in Pakistan. © 2022 Elsevier B.V., All rights reserved.",Blockchain technology; Distributed ledger; E-voting system; Simulation modeling,Blockchain; Decision making; Electronic voting; Block-chain; Blockchain technology; E-voting systems; Economic issues; National database; Pakistan; Paper based methods; Simple++; Simulation-modelling; Socio-economics; Distributed ledger,,Tech Science Press,15462218; 15462226,,,English,Comput. Mater. Continua,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85125834430
,,,"6th International Conference on Emerging Research in Computing, Information, Communication and Applications, ERCICA 2020",2022,Lecture Notes in Electrical Engineering,790,,,,,542,,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121688409&partnerID=40&md5=dbfe8913027ad2af965befc0818a775b,"The proceedings contain 44 papers. The special focus in this conference is on Emerging Research in Computing, Information, Communication and Applications. The topics include: Decision Tree Based Crop Yield Prediction Using Agro-climatic Parameters; a Deep Learning Approach for Speed Bump and Pothole Detection Using Sensor Data; driver Activity Monitoring Using MobileNets; Smart College Camera Security System Using IOT; IoT-CBSE: A Search Engine for Semantic Internet of Things; Static and Dynamic Human Activity Detection Using Multi CNN-ELM Approach; water Table Analysis Using Machine Learning; real-Time Image Deblurring and Super Resolution Using Convolutional Neural Networks; proficient Detection of Flash Attacks Using a Predictive Strategy; automatic Gate Control System; An Effective PUF Based Lightweight Authentication and Key Sharing Scheme for IoT Devices; CYPUR-NN: Crop Yield Prediction Using Regression and Neural Networks; TORA: Text Summarization Using Optical Character Recognition and Attention Neural Networks; development of Security Performance and Comparative Analyses Process for Big Data in Cloud; design of a Secure Blockchain Based Privacy Preserving Electronic Voting System; sentiment Analysis to Detect Depression in Social Media Users: Overview and Proposed Methodology; Aquatic Debris Detection System: Image Processing—IOT Integration Perspective; ioT-Based Water Quality Analysis and Purification System; image Captioning for the Visually Impaired; dynamic Resource Allocation for Virtual Machines in Cloud Data Center; on the Maximum N-degree Energy of Graphs; Navigation Assistance and Collision Avoidance for the Visually Impaired “NACVI”; Predicting the Rate of Transmission of Viral Diseases Using GARCH; foggy Security; flood Monitoring and Alerting System for Low Lying Urban Areas; health Assistant Bot. © 2021 Elsevier B.V., All rights reserved.",,,"Shetty, N.R.; Patnaik, L.M.; Nagaraj, H.C.; Hamsavath, P.N.; Nalini, N.",Springer Science and Business Media Deutschland GmbH,18761119; 18761100,9789819680023; 9789819658473; 9789819600571; 9789819644292; 9789819637577; 9783319030135; 9783642363283; 9789819648115; 9783642384653; 9789819920914,,English,Lect. Notes Electr. Eng.,Conference review,Final,,Scopus,2-s2.0-85121688409
